Dataset Atlas Type Value
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8641741642503148
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8583474162727907
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8754621013358428
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8391279831710261
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.876491103514567
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7579491051794532
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8735351649709577
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.741641331553082
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9038633485217096
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9149629696737656
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8888435555625299
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.824877040123804
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8546737205044311
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8909770114070863
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8970139000668268
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9367354809008137
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.722367108034484
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7961134101716237
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8533402216119091
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9086815655498929
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8558598083031288
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8626504106027038
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8346640649665749
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8734254121754917
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8707374154914508
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9263419765431934
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8547671205808702
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8629977308027432
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8181610356933283
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9195639419984136
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8762125317137008
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9277957435528204
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8825537586672269
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7263498252360819
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8293871271214815
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.812759066802608
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8437575144198897
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8552219967441964
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8771497145716713
